2021-01-29 16:54:42,202 | metadamage.utils | INFO | Running new file: EC-Ext-14-Lib-14-Index1
2021-01-29 16:54:42,217 | metadamage.fileloader | INFO | Loading DataFrame from parquet-file.
2021-01-29 16:54:42,342 | metadamage.utils | INFO | Setting number_of_fits to 100
2021-01-29 16:54:42,342 | metadamage.fit | INFO | Loading fits from pregenerated file.
2021-01-29 16:54:42,736 | metadamage.plot | INFO | Plotting, please wait.
2021-01-29 16:54:50,343 | metadamage.main | DEBUG | End of loop

2021-01-29 16:54:50,343 | metadamage.utils | INFO | Running new file: KapK-198A-Ext-55-Lib-55-Index1
2021-01-29 16:54:50,344 | metadamage.fileloader | INFO | Loading DataFrame from parquet-file.
2021-01-29 16:54:50,472 | metadamage.utils | INFO | Setting number_of_fits to 100
2021-01-29 16:54:50,473 | metadamage.fit | INFO | Loading fits from pregenerated file.
2021-01-29 16:54:50,901 | metadamage.plot | INFO | Plotting, please wait.
2021-01-29 16:54:58,905 | metadamage.main | DEBUG | End of loop

2021-01-29 16:54:58,908 | metadamage.plot | INFO | Plotting fit results.
