2021-02-09 15:28:19,481 | metadamage.utils | INFO | 'max-cores' is set to a negative valueso using 7 (available-max_cores) cores
2021-02-09 15:28:30,235 | metadamage.utils | INFO | Running new file: BPN19-AR-10-Ext-128-Lib-128-3-Index1
2021-02-09 15:28:30,236 | metadamage.fileloader | INFO | Loading DataFrame from parquet-file.
2021-02-09 15:28:30,321 | metadamage.utils | INFO | Setting number_of_fits to 1000
2021-02-09 15:28:30,321 | metadamage.fit | INFO | Loading fits from pregenerated file.
2021-02-09 15:28:31,760 | metadamage.plot | INFO | Plot of error rates already exist.
2021-02-09 15:28:31,761 | metadamage.utils | INFO | Running new file: EC-Ext-14-Lib-14-Index1
2021-02-09 15:28:31,762 | metadamage.fileloader | INFO | Loading DataFrame from parquet-file.
2021-02-09 15:28:31,796 | metadamage.utils | INFO | Setting number_of_fits to 1000
2021-02-09 15:28:31,796 | metadamage.fit | INFO | Loading fits from pregenerated file.
2021-02-09 15:28:32,727 | metadamage.plot | INFO | Plot of error rates already exist.
2021-02-09 15:28:32,728 | metadamage.utils | INFO | Running new file: KapK-198A-Ext-55-Lib-55-Index1
2021-02-09 15:28:32,729 | metadamage.fileloader | INFO | Loading DataFrame from parquet-file.
2021-02-09 15:28:32,782 | metadamage.utils | INFO | Setting number_of_fits to 1000
2021-02-09 15:28:32,782 | metadamage.fit | INFO | Loading fits from pregenerated file.
2021-02-09 15:28:34,596 | metadamage.plot | INFO | Plot of error rates already exist.
2021-02-09 15:28:34,597 | metadamage.utils | INFO | Running new file: SJArg-1-Nit
2021-02-09 15:28:34,598 | metadamage.fileloader | INFO | Loading DataFrame from parquet-file.
2021-02-09 15:28:34,614 | metadamage.utils | INFO | Setting number_of_fits to 1000
2021-02-09 15:28:34,614 | metadamage.fit | INFO | Loading fits from pregenerated file.
2021-02-09 15:28:35,329 | metadamage.plot | INFO | Plot of error rates already exist.
2021-02-09 15:28:35,330 | metadamage.utils | INFO | Running new file: n_sigma_test
2021-02-09 15:28:35,331 | metadamage.fileloader | INFO | Loading DataFrame from parquet-file.
2021-02-09 15:28:35,337 | metadamage.utils | INFO | Setting number_of_fits to 3
2021-02-09 15:28:35,337 | metadamage.fit | INFO | Loading fits from pregenerated file.
2021-02-09 15:28:35,374 | metadamage.plot | INFO | Plot of error rates already exist.
